id_transaccion,folio,codigo,monto,fecha,es_anomalia,es_alerta_operativa,es_senal_contexto,cluster_anomalia,senales_contexto,nivel_riesgo,score_riesgo,reglas_activadas,mensaje_alerta
413,100745,PROPTI,87.12,2024-07-27,True,True,False,CANCELACION_SOSPECHOSA,"USUARIO_MODIFICACION: creado por 'JLS', modificado por 'OLN'",MEDIO,25,cancelacion_monto_alto: monto cancelado=87.12,"Alerta tx 413 (folio 100745, cód PROPTI, monto 87.12): [CANCELACION_SOSPECHOSA] — cancelacion_monto_alto: monto cancelado=87.12 — | ctx: USUARIO_MODIFICACION: creado por 'JLS', modificado por 'OLN'"
288,83127,RENHAB,-3430.74,2024-02-07,True,True,False,CANCELACION_SOSPECHOSA,"USUARIO_MODIFICACION: creado por 'EGT', modificado por 'CMG' (monto alto)",MEDIO,25,cancelacion_monto_alto: monto cancelado=3430.74,"Alerta tx 288 (folio 83127, cód RENHAB, monto -3430.74): [CANCELACION_SOSPECHOSA] — cancelacion_monto_alto: monto cancelado=3430.74 — | ctx: USUARIO_MODIFICACION: creado por 'EGT', modificado por 'CMG' (monto alto)"
164,25528,RESDEP,63960.0,2022-04-01,True,True,False,MONTO_ATIPICO,,MEDIO,25,"monto_atipico: monto_abs=63960.00, z=6.86 (umbral ±2.0) para código 'RESDEP'","Alerta tx 164 (folio 25528, cód RESDEP, monto 63960.00): [MONTO_ATIPICO] — monto_atipico: monto_abs=63960.00, z=6.86 (umbral ±2.0) para código 'RESDEP'"
208,103423,RENHAB,0.0,2024-09-05,True,True,False,MONTO_ATIPICO,,MEDIO,25,"monto_atipico: monto_abs=0.00, z=-2.63 (umbral ±2.0) para código 'RENHAB'","Alerta tx 208 (folio 103423, cód RENHAB, monto 0.00): [MONTO_ATIPICO] — monto_atipico: monto_abs=0.00, z=-2.63 (umbral ±2.0) para código 'RENHAB'"
45,18582,RENCOM,5430.0,2021-12-26,True,True,False,MONTO_ATIPICO,,MEDIO,25,"monto_atipico: monto_abs=5430.00, z=3.87 (umbral ±2.0) para código 'RENCOM'","Alerta tx 45 (folio 18582, cód RENCOM, monto 5430.00): [MONTO_ATIPICO] — monto_atipico: monto_abs=5430.00, z=3.87 (umbral ±2.0) para código 'RENCOM'"
80,109388,CANXFA,600.0,2024-11-27,True,True,False,FUERA_DE_ESTANCIA,,MEDIO,35,"cargo_despues_checkout: fecha_cargo=2024-11-27, check-out=2024-11-26","Alerta tx 80 (folio 109388, cód CANXFA, monto 600.00): [FUERA_DE_ESTANCIA] — cargo_despues_checkout: fecha_cargo=2024-11-27, check-out=2024-11-26"
896,56475,RENHAB,-3110.72,2023-04-21,True,True,False,CANCELACION_SOSPECHOSA,"USUARIO_MODIFICACION: creado por 'EGT', modificado por 'MCZ' (monto alto)",MEDIO,25,cancelacion_monto_alto: monto cancelado=3110.72,"Alerta tx 896 (folio 56475, cód RENHAB, monto -3110.72): [CANCELACION_SOSPECHOSA] — cancelacion_monto_alto: monto cancelado=3110.72 — | ctx: USUARIO_MODIFICACION: creado por 'EGT', modificado por 'MCZ' (monto alto)"
56,71194,EFE,1586.25,2023-09-04,True,True,False,CANCELACION_SOSPECHOSA,"USUARIO_MODIFICACION: creado por 'RM2', modificado por 'RFR'",MEDIO,25,cancelacion_con_reposteo: mismo folio/código/monto tiene versión cancelada y activa el mismo día,"Alerta tx 56 (folio 71194, cód EFE, monto 1586.25): [CANCELACION_SOSPECHOSA] — cancelacion_con_reposteo: mismo folio/código/monto tiene versión cancelada y activa el mismo día — | ctx: USUARIO_MODIFICACION: creado por 'RM2', modificado por 'RFR'"
17,136585,RESDEP,35000.0,2025-09-26,True,True,False,MONTO_ATIPICO,,MEDIO,25,"monto_atipico: monto_abs=35000.00, z=3.40 (umbral ±2.0) para código 'RESDEP'","Alerta tx 17 (folio 136585, cód RESDEP, monto 35000.00): [MONTO_ATIPICO] — monto_atipico: monto_abs=35000.00, z=3.40 (umbral ±2.0) para código 'RESDEP'"
538,126838,RENHAB,3042.87,2025-06-06,True,True,False,CANCELACION_SOSPECHOSA,"USUARIO_MODIFICACION: creado por 'DOB', modificado por 'RFR' (monto alto)",MEDIO,25,cancelacion_monto_alto: monto cancelado=3042.87,"Alerta tx 538 (folio 126838, cód RENHAB, monto 3042.87): [CANCELACION_SOSPECHOSA] — cancelacion_monto_alto: monto cancelado=3042.87 — | ctx: USUARIO_MODIFICACION: creado por 'DOB', modificado por 'RFR' (monto alto)"
