id_transaccion,folio,codigo,monto,fecha,es_anomalia,cluster_anomalia,nivel_riesgo,mensaje_alerta,reglas_activadas,score_riesgo
491,10471,RENHAB,-1717.22,2021-08-09,True,SIGNO_CONTABLE | USUARIO_MODIFICACION,ALTO,"Alerta en transacción 491 (folio 10471, código RENHAB, monto -1717.22): [SIGNO_CONTABLE | USUARIO_MODIFICACION] — cargo_monto_negativo: monto=-1717.22 en CARGO (t_carabo=0); debería ser positivo o estar marcado como cancelado; usuario_mod_distinto: creado por 'ALM', modificado por 'JEO'","cargo_monto_negativo: monto=-1717.22 en CARGO (t_carabo=0); debería ser positivo o estar marcado como cancelado | usuario_mod_distinto: creado por 'ALM', modificado por 'JEO'",50
40,137943,PEREXT,1276.75,2025-10-20,True,CONTEXTO_RESERVACION | USUARIO_MODIFICACION,MEDIO,"Alerta en transacción 40 (folio 137943, código PEREXT, monto 1276.75): [CONTEXTO_RESERVACION | USUARIO_MODIFICACION] — noches_inconsistentes: cargo=0, reservación=4.0; usuario_mod_distinto: creado por 'CEV', modificado por ''","noches_inconsistentes: cargo=0, reservación=4.0 | usuario_mod_distinto: creado por 'CEV', modificado por ''",35
283,137732,RENHAB,2020.32,2025-10-17,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 283 (folio 137732, código RENHAB, monto 2020.32): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'EGT', modificado por ''","usuario_mod_distinto: creado por 'EGT', modificado por ''",15
485,57118,PROPTI,52.8,2023-05-01,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 485 (folio 57118, código PROPTI, monto 52.80): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'EGT', modificado por ''","usuario_mod_distinto: creado por 'EGT', modificado por ''",15
674,125702,PROPTI,58.08,2025-05-29,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 674 (folio 125702, código PROPTI, monto 58.08): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'DOB', modificado por ''","usuario_mod_distinto: creado por 'DOB', modificado por ''",15
102,28540,DEPHAB,3000.0,2022-05-04,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 102 (folio 28540, código DEPHAB, monto 3000.00): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'MDS', modificado por '' (monto alto)","usuario_mod_distinto: creado por 'MDS', modificado por '' (monto alto)",15
841,66175,PROPTI,52.8,2023-07-24,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 841 (folio 66175, código PROPTI, monto 52.80): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'EGT', modificado por ''","usuario_mod_distinto: creado por 'EGT', modificado por ''",15
686,134039,RENHAB,2415.92,2025-08-25,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 686 (folio 134039, código RENHAB, monto 2415.92): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'DOB', modificado por ''","usuario_mod_distinto: creado por 'DOB', modificado por ''",15
285,84181,PROPTI,58.08,2024-02-18,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 285 (folio 84181, código PROPTI, monto 58.08): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'EGT', modificado por ''","usuario_mod_distinto: creado por 'EGT', modificado por ''",15
161,030320,PUNTAZ,820.0,2025-03-03,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 161 (folio 030320, código PUNTAZ, monto 820.00): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'GEU', modificado por ''","usuario_mod_distinto: creado por 'GEU', modificado por ''",15
207,63442,RENHAB,1878.8,2023-06-27,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 207 (folio 63442, código RENHAB, monto 1878.80): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'JLS', modificado por ''","usuario_mod_distinto: creado por 'JLS', modificado por ''",15
271,18853,RENHAB,2198.87,2021-12-29,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 271 (folio 18853, código RENHAB, monto 2198.87): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'ALM', modificado por ''","usuario_mod_distinto: creado por 'ALM', modificado por ''",15
