id_transaccion,folio,codigo,monto,fecha,es_anomalia,es_alerta_operativa,es_senal_contexto,cluster_anomalia,senales_contexto,nivel_riesgo,score_riesgo,reglas_activadas,mensaje_alerta
584,25913,PROPTI,48.0,2022-04-04,True,False,False,,"USUARIO_MODIFICACION: creado por 'AGH', modificado por 'EGT'",BAJO,0,,"Alerta tx 584 (folio 25913, cód PROPTI, monto 48.00): | ctx: USUARIO_MODIFICACION: creado por 'AGH', modificado por 'EGT'"
813,77205,PROPTI,52.8,2023-11-24,True,False,False,,"USUARIO_MODIFICACION: creado por 'EGT', modificado por 'CMG'",BAJO,0,,"Alerta tx 813 (folio 77205, cód PROPTI, monto 52.80): | ctx: USUARIO_MODIFICACION: creado por 'EGT', modificado por 'CMG'"
264,47334,PROPTI,12.0,2023-01-17,True,False,False,,"USUARIO_MODIFICACION: creado por 'ALM', modificado por 'NGA'",BAJO,0,,"Alerta tx 264 (folio 47334, cód PROPTI, monto 12.00): | ctx: USUARIO_MODIFICACION: creado por 'ALM', modificado por 'NGA'"
648,5880,RENHAB,1818.55,2021-06-02,True,False,False,,"USUARIO_MODIFICACION: creado por 'MCC', modificado por 'IEP'",BAJO,0,,"Alerta tx 648 (folio 5880, cód RENHAB, monto 1818.55): | ctx: USUARIO_MODIFICACION: creado por 'MCC', modificado por 'IEP'"
545,786,RENHAB,1922.0,2021-03-15,True,False,False,,"USUARIO_MODIFICACION: creado por 'FJL', modificado por 'KJG'",BAJO,0,,"Alerta tx 545 (folio 786, cód RENHAB, monto 1922.00): | ctx: USUARIO_MODIFICACION: creado por 'FJL', modificado por 'KJG'"
834,7813,PROPTI,-12.0,2021-07-02,True,False,False,,"USUARIO_MODIFICACION: creado por 'MCC', modificado por 'RFR'",BAJO,0,,"Alerta tx 834 (folio 7813, cód PROPTI, monto -12.00): | ctx: USUARIO_MODIFICACION: creado por 'MCC', modificado por 'RFR'"
849,3119,RENHAB,-1858.15,2021-04-17,True,False,False,,"USUARIO_MODIFICACION: creado por 'FJL', modificado por 'IEP'",BAJO,0,,"Alerta tx 849 (folio 3119, cód RENHAB, monto -1858.15): | ctx: USUARIO_MODIFICACION: creado por 'FJL', modificado por 'IEP'"
608,50210,PEREXT,963.0,2023-02-20,True,False,False,,"USUARIO_MODIFICACION: creado por 'EGT', modificado por 'EJN'",BAJO,0,,"Alerta tx 608 (folio 50210, cód PEREXT, monto 963.00): | ctx: USUARIO_MODIFICACION: creado por 'EGT', modificado por 'EJN'"
170,44335,PROPTI,24.0,2022-12-01,True,False,False,,"USUARIO_MODIFICACION: creado por 'EGT', modificado por 'NGA'",BAJO,0,,"Alerta tx 170 (folio 44335, cód PROPTI, monto 24.00): | ctx: USUARIO_MODIFICACION: creado por 'EGT', modificado por 'NGA'"
947,55735,PROPTI,52.8,2023-04-14,True,False,False,,"USUARIO_MODIFICACION: creado por 'EGT', modificado por 'CEV'",BAJO,0,,"Alerta tx 947 (folio 55735, cód PROPTI, monto 52.80): | ctx: USUARIO_MODIFICACION: creado por 'EGT', modificado por 'CEV'"
